AWAY,HOME,HOME_TEAM_RESULT,W%,B_index,LV2,wOBA,WAR,WAR,W%,B_index,LV2,wOBA,WAR,WAR
Astros,Phillies,L,0.518518519,48.1,29.74,0.317,20.1,20.6,0.438271605,47,28.53,0.296,13.6,10.2
Marlins,Cardinals,W,0.49068323,46.1,28.77,0.309,14.5,20,0.530864198,46.7,27.7,0.329,17.4,22.3
Mets,Nationals,W,0.537037037,45.9,29.76,0.315,24.4,20.5,0.586419753,45.8,31.17,0.322,23.2,23
Phillies,Yankees,L,0.438271605,47,28.53,0.296,13.6,10.2,0.518518519,44.8,30.4,0.311,18.2,14.6
BlueJays,Pirates,L,0.549382716,46.7,28.14,0.327,19,23.7,0.481481481,47,26.13,0.318,9.2,17.3
Cubs,Brewers,W,0.635802469,46.7,30.36,0.333,20.6,38,0.450617284,49.9,25.31,0.315,12.5,12.3
WhiteSox,Dodgers,W,0.481481481,46.7,27.06,0.314,15.9,16.4,0.561728395,46.3,32.05,0.314,22.7,24.2
Reds,Indians,L,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.583850932,46.4,30.09,0.326,18.7,26.7
Brewers,Giants,L,0.450617284,49.9,25.31,0.315,12.5,12.3,0.537037037,43.5,28.27,0.315,17.2,26.8
Rangers,Royals,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.5,46.3,27.5,0.307,9.9,14.6
Athletics,Angels,W,0.425925926,43.6,26.37,0.302,12.2,2.7,0.456790123,42.4,25.16,0.314,6.7,20.7
Mariners,Padres,L,0.530864198,46.6,28.27,0.325,12.9,20.9,0.419753086,48.5,26.19,0.297,8.7,11.6
RedSox,Twins,L,0.574074074,46.6,29.18,0.346,18.1,35,0.364197531,47.9,26.48,0.317,8.5,12.5
Braves,Phillies,W,0.422360248,45.5,26.35,0.304,8.9,10,0.438271605,47,28.53,0.296,13.6,10.2
Twins,Pirates,D,0.364197531,47.9,26.48,0.317,8.5,12.5,0.481481481,47,26.13,0.318,9.2,17.3
Yankees,Tigers,W,0.518518519,44.8,30.4,0.311,18.2,14.6,0.534161491,48,27.31,0.33,17.4,19.4
Cardinals,Astros,W,0.530864198,46.7,27.7,0.329,17.4,22.3,0.518518519,48.1,29.74,0.317,20.1,20.6
Rays,RedSox,W,0.419753086,48.8,29.26,0.315,12.2,17.3,0.574074074,46.6,29.18,0.346,18.1,35
Nationals,Marlins,W,0.586419753,45.8,31.17,0.322,23.2,23,0.49068323,46.1,28.77,0.309,14.5,20
Orioles,BlueJays,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.549382716,46.7,28.14,0.327,19,23.7
Marlins,Mets,D,0.49068323,46.1,28.77,0.309,14.5,20,0.537037037,45.9,29.76,0.315,24.4,20.5
Indians,WhiteSox,D,0.583850932,46.4,30.09,0.326,18.7,26.7,0.481481481,46.7,27.06,0.314,15.9,16.4
Rockies,Athletics,W,0.462962963,48.8,26.66,0.339,13.5,17.5,0.425925926,43.6,26.37,0.302,12.2,2.7
Angels,Cubs,W,0.456790123,42.4,25.16,0.314,6.7,20.7,0.635802469,46.7,30.36,0.333,20.6,38
Dodgers,Rangers,D,0.561728395,46.3,32.05,0.314,22.7,24.2,0.586419753,46.2,25.24,0.324,10.1,18.7
Giants,Reds,L,0.537037037,43.5,28.27,0.315,17.2,26.8,0.419753086,46.7,26.46,0.311,-1.4,15.9
Mariners,Brewers,W,0.530864198,46.6,28.27,0.325,12.9,20.9,0.450617284,49.9,25.31,0.315,12.5,12.3
Royals,Padres,W,0.5,46.3,27.5,0.307,9.9,14.6,0.419753086,48.5,26.19,0.297,8.7,11.6
Orioles,Twins,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.364197531,47.9,26.48,0.317,8.5,12.5
RedSox,Yankees,W,0.574074074,46.6,29.18,0.346,18.1,35,0.518518519,44.8,30.4,0.311,18.2,14.6
Tigers,Nationals,W,0.534161491,48,27.31,0.33,17.4,19.4,0.586419753,45.8,31.17,0.322,23.2,23
Mets,Astros,L,0.537037037,45.9,29.76,0.315,24.4,20.5,0.518518519,48.1,29.74,0.317,20.1,20.6
Pirates,Braves,L,0.481481481,47,26.13,0.318,9.2,17.3,0.422360248,45.5,26.35,0.304,8.9,10
Cardinals,Marlins,L,0.530864198,46.7,27.7,0.329,17.4,22.3,0.49068323,46.1,28.77,0.309,14.5,20
Phillies,BlueJays,W,0.438271605,47,28.53,0.296,13.6,10.2,0.549382716,46.7,28.14,0.327,19,23.7
WhiteSox,Royals,L,0.481481481,46.7,27.06,0.314,15.9,16.4,0.5,46.3,27.5,0.307,9.9,14.6
Reds,Cubs,L,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.635802469,46.7,30.36,0.333,20.6,38
Brewers,Athletics,D,0.450617284,49.9,25.31,0.315,12.5,12.3,0.425925926,43.6,26.37,0.302,12.2,2.7
Giants,Indians,L,0.537037037,43.5,28.27,0.315,17.2,26.8,0.583850932,46.4,30.09,0.326,18.7,26.7
Rangers,Giants,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.537037037,43.5,28.27,0.315,17.2,26.8
Angels,Mariners,L,0.456790123,42.4,25.16,0.314,6.7,20.7,0.530864198,46.6,28.27,0.325,12.9,20.9
Padres,Rockies,W,0.419753086,48.5,26.19,0.297,8.7,11.6,0.462962963,48.8,26.66,0.339,13.5,17.5
Rays,Orioles,L,0.419753086,48.8,29.26,0.315,12.2,17.3,0.549382716,47.3,26.91,0.326,15.4,20.2
Orioles,RedSox,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.574074074,46.6,29.18,0.346,18.1,35
Astros,Pirates,L,0.518518519,48.1,29.74,0.317,20.1,20.6,0.481481481,47,26.13,0.318,9.2,17.3
Marlins,Tigers,W,0.49068323,46.1,28.77,0.309,14.5,20,0.534161491,48,27.31,0.33,17.4,19.4
Twins,Rays,L,0.364197531,47.9,26.48,0.317,8.5,12.5,0.419753086,48.8,29.26,0.315,12.2,17.3
Yankees,Phillies,W,0.518518519,44.8,30.4,0.311,18.2,14.6,0.438271605,47,28.53,0.296,13.6,10.2
BlueJays,Astros,W,0.549382716,46.7,28.14,0.327,19,23.7,0.518518519,48.1,29.74,0.317,20.1,20.6
Nationals,Cardinals,L,0.586419753,45.8,31.17,0.322,23.2,23,0.530864198,46.7,27.7,0.329,17.4,22.3
Braves,Mets,W,0.422360248,45.5,26.35,0.304,8.9,10,0.537037037,45.9,29.76,0.315,24.4,20.5
Indians,Brewers,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.450617284,49.9,25.31,0.315,12.5,12.3
Rockies,Reds,L,0.462962963,48.8,26.66,0.339,13.5,17.5,0.419753086,46.7,26.46,0.311,-1.4,15.9
Dodgers,Giants,L,0.561728395,46.3,32.05,0.314,22.7,24.2,0.537037037,43.5,28.27,0.315,17.2,26.8
Padres,WhiteSox,W,0.419753086,48.5,26.19,0.297,8.7,11.6,0.481481481,46.7,27.06,0.314,15.9,16.4
Mariners,Rangers,L,0.530864198,46.6,28.27,0.325,12.9,20.9,0.586419753,46.2,25.24,0.324,10.1,18.7
Royals,Angels,L,0.5,46.3,27.5,0.307,9.9,14.6,0.456790123,42.4,25.16,0.314,6.7,20.7
Athletics,Padres,L,0.425925926,43.6,26.37,0.302,12.2,2.7,0.419753086,48.5,26.19,0.297,8.7,11.6
Astros,Yankees,L,0.518518519,48.1,29.74,0.317,20.1,20.6,0.518518519,44.8,30.4,0.311,18.2,14.6
Marlins,Nationals,W,0.49068323,46.1,28.77,0.309,14.5,20,0.586419753,45.8,31.17,0.322,23.2,23
Twins,Orioles,L,0.364197531,47.9,26.48,0.317,8.5,12.5,0.549382716,47.3,26.91,0.326,15.4,20.2
Mets,Cardinals,W,0.537037037,45.9,29.76,0.315,24.4,20.5,0.530864198,46.7,27.7,0.329,17.4,22.3
Phillies,Pirates,L,0.438271605,47,28.53,0.296,13.6,10.2,0.481481481,47,26.13,0.318,9.2,17.3
Rays,RedSox,L,0.419753086,48.8,29.26,0.315,12.2,17.3,0.574074074,46.6,29.18,0.346,18.1,35
Braves,BlueJays,W,0.422360248,45.5,26.35,0.304,8.9,10,0.549382716,46.7,28.14,0.327,19,23.7
Tigers,Mets,W,0.534161491,48,27.31,0.33,17.4,19.4,0.537037037,45.9,29.76,0.315,24.4,20.5
Indians,Dodgers,L,0.583850932,46.4,30.09,0.326,18.7,26.7,0.561728395,46.3,32.05,0.314,22.7,24.2
Royals,Cubs,L,0.5,46.3,27.5,0.307,9.9,14.6,0.635802469,46.7,30.36,0.333,20.6,38
Royals,Athletics,W,0.5,46.3,27.5,0.307,9.9,14.6,0.425925926,43.6,26.37,0.302,12.2,2.7
Angels,Reds,W,0.456790123,42.4,25.16,0.314,6.7,20.7,0.419753086,46.7,26.46,0.311,-1.4,15.9
Padres,Brewers,L,0.419753086,48.5,26.19,0.297,8.7,11.6,0.450617284,49.9,25.31,0.315,12.5,12.3
Giants,Rangers,W,0.537037037,43.5,28.27,0.315,17.2,26.8,0.586419753,46.2,25.24,0.324,10.1,18.7
Cubs,Rockies,W,0.635802469,46.7,30.36,0.333,20.6,38,0.462962963,48.8,26.66,0.339,13.5,17.5
WhiteSox,Angels,L,0.481481481,46.7,27.06,0.314,15.9,16.4,0.456790123,42.4,25.16,0.314,6.7,20.7
RedSox,Orioles,L,0.574074074,46.6,29.18,0.346,18.1,35,0.549382716,47.3,26.91,0.326,15.4,20.2
Mets,Braves,W,0.537037037,45.9,29.76,0.315,24.4,20.5,0.422360248,45.5,26.35,0.304,8.9,10
Yankees,Marlins,W,0.518518519,44.8,30.4,0.311,18.2,14.6,0.49068323,46.1,28.77,0.309,14.5,20
Pirates,Phillies,W,0.481481481,47,26.13,0.318,9.2,17.3,0.438271605,47,28.53,0.296,13.6,10.2
Cardinals,Twins,L,0.530864198,46.7,27.7,0.329,17.4,22.3,0.364197531,47.9,26.48,0.317,8.5,12.5
Rays,Tigers,W,0.419753086,48.8,29.26,0.315,12.2,17.3,0.534161491,48,27.31,0.33,17.4,19.4
Nationals,Astros,L,0.586419753,45.8,31.17,0.322,23.2,23,0.518518519,48.1,29.74,0.317,20.1,20.6
Twins,BlueJays,W,0.364197531,47.9,26.48,0.317,8.5,12.5,0.549382716,46.7,28.14,0.327,19,23.7
Rockies,Royals,W,0.462962963,48.8,26.66,0.339,13.5,17.5,0.5,46.3,27.5,0.307,9.9,14.6
Dodgers,Cubs,L,0.561728395,46.3,32.05,0.314,22.7,24.2,0.635802469,46.7,30.36,0.333,20.6,38
Brewers,WhiteSox,W,0.450617284,49.9,25.31,0.315,12.5,12.3,0.481481481,46.7,27.06,0.314,15.9,16.4
Mariners,Indians,W,0.530864198,46.6,28.27,0.325,12.9,20.9,0.583850932,46.4,30.09,0.326,18.7,26.7
Rangers,Athletics,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.425925926,43.6,26.37,0.302,12.2,2.7
Reds,Giants,W,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.537037037,43.5,28.27,0.315,17.2,26.8
Braves,Astros,W,0.422360248,45.5,26.35,0.304,8.9,10,0.518518519,48.1,29.74,0.317,20.1,20.6
Orioles,Phillies,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.438271605,47,28.53,0.296,13.6,10.2
RedSox,Pirates,L,0.574074074,46.6,29.18,0.346,18.1,35,0.481481481,47,26.13,0.318,9.2,17.3
Marlins,Cardinals,L,0.49068323,46.1,28.77,0.309,14.5,20,0.530864198,46.7,27.7,0.329,17.4,22.3
Phillies,Twins,L,0.438271605,47,28.53,0.296,13.6,10.2,0.364197531,47.9,26.48,0.317,8.5,12.5
BlueJays,Rays,L,0.549382716,46.7,28.14,0.327,19,23.7,0.419753086,48.8,29.26,0.315,12.2,17.3
Nationals,Tigers,W,0.586419753,45.8,31.17,0.322,23.2,23,0.534161491,48,27.31,0.33,17.4,19.4
Yankees,Mets,D,0.518518519,44.8,30.4,0.311,18.2,14.6,0.537037037,45.9,29.76,0.315,24.4,20.5
Indians,Cubs,L,0.583850932,46.4,30.09,0.326,18.7,26.7,0.635802469,46.7,30.36,0.333,20.6,38
Rockies,Giants,L,0.462962963,48.8,26.66,0.339,13.5,17.5,0.537037037,43.5,28.27,0.315,17.2,26.8
Brewers,Royals,W,0.450617284,49.9,25.31,0.315,12.5,12.3,0.5,46.3,27.5,0.307,9.9,14.6
Athletics,WhiteSox,L,0.425925926,43.6,26.37,0.302,12.2,2.7,0.481481481,46.7,27.06,0.314,15.9,16.4
Rangers,Reds,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.419753086,46.7,26.46,0.311,-1.4,15.9
Royals,Mariners,W,0.5,46.3,27.5,0.307,9.9,14.6,0.530864198,46.6,28.27,0.325,12.9,20.9
Dodgers,Angels,D,0.561728395,46.3,32.05,0.314,22.7,24.2,0.456790123,42.4,25.16,0.314,6.7,20.7
Braves,Marlins,L,0.422360248,45.5,26.35,0.304,8.9,10,0.49068323,46.1,28.77,0.309,14.5,20
Tigers,Phillies,D,0.534161491,48,27.31,0.33,17.4,19.4,0.438271605,47,28.53,0.296,13.6,10.2
Twins,RedSox,L,0.364197531,47.9,26.48,0.317,8.5,12.5,0.574074074,46.6,29.18,0.346,18.1,35
Yankees,Orioles,D,0.518518519,44.8,30.4,0.311,18.2,14.6,0.549382716,47.3,26.91,0.326,15.4,20.2
Pirates,Rays,W,0.481481481,47,26.13,0.318,9.2,17.3,0.419753086,48.8,29.26,0.315,12.2,17.3
BlueJays,Yankees,L,0.549382716,46.7,28.14,0.327,19,23.7,0.518518519,44.8,30.4,0.311,18.2,14.6
Cardinals,Mets,W,0.530864198,46.7,27.7,0.329,17.4,22.3,0.537037037,45.9,29.76,0.315,24.4,20.5
WhiteSox,Rangers,L,0.481481481,46.7,27.06,0.314,15.9,16.4,0.586419753,46.2,25.24,0.324,10.1,18.7
Royals,WhiteSox,L,0.5,46.3,27.5,0.307,9.9,14.6,0.481481481,46.7,27.06,0.314,15.9,16.4
Dodgers,Athletics,L,0.561728395,46.3,32.05,0.314,22.7,24.2,0.425925926,43.6,26.37,0.302,12.2,2.7
Padres,Indians,W,0.419753086,48.5,26.19,0.297,8.7,11.6,0.583850932,46.4,30.09,0.326,18.7,26.7
Giants,Brewers,L,0.537037037,43.5,28.27,0.315,17.2,26.8,0.450617284,49.9,25.31,0.315,12.5,12.3
Cubs,Mariners,W,0.635802469,46.7,30.36,0.333,20.6,38,0.530864198,46.6,28.27,0.325,12.9,20.9
Reds,Rockies,L,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.462962963,48.8,26.66,0.339,13.5,17.5
Astros,Nationals,L,0.518518519,48.1,29.74,0.317,20.1,20.6,0.586419753,45.8,31.17,0.322,23.2,23
Braves,Cardinals,W,0.422360248,45.5,26.35,0.304,8.9,10,0.530864198,46.7,27.7,0.329,17.4,22.3
Orioles,Yankees,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.518518519,44.8,30.4,0.311,18.2,14.6
Tigers,Astros,W,0.534161491,48,27.31,0.33,17.4,19.4,0.518518519,48.1,29.74,0.317,20.1,20.6
Marlins,Twins,L,0.49068323,46.1,28.77,0.309,14.5,20,0.364197531,47.9,26.48,0.317,8.5,12.5
Mets,Nationals,W,0.537037037,45.9,29.76,0.315,24.4,20.5,0.586419753,45.8,31.17,0.322,23.2,23
Phillies,Braves,L,0.438271605,47,28.53,0.296,13.6,10.2,0.422360248,45.5,26.35,0.304,8.9,10
Rays,Pirates,W,0.419753086,48.8,29.26,0.315,12.2,17.3,0.481481481,47,26.13,0.318,9.2,17.3
RedSox,BlueJays,W,0.574074074,46.6,29.18,0.346,18.1,35,0.549382716,46.7,28.14,0.327,19,23.7
Reds,Cubs,W,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.635802469,46.7,30.36,0.333,20.6,38
Angels,Dodgers,L,0.456790123,42.4,25.16,0.314,6.7,20.7,0.561728395,46.3,32.05,0.314,22.7,24.2
Athletics,Reds,L,0.425925926,43.6,26.37,0.302,12.2,2.7,0.419753086,46.7,26.46,0.311,-1.4,15.9
Mariners,Giants,L,0.530864198,46.6,28.27,0.325,12.9,20.9,0.537037037,43.5,28.27,0.315,17.2,26.8
Rangers,Brewers,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.450617284,49.9,25.31,0.315,12.5,12.3
WhiteSox,Padres,L,0.481481481,46.7,27.06,0.314,15.9,16.4,0.419753086,48.5,26.19,0.297,8.7,11.6
Indians,Rockies,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.462962963,48.8,26.66,0.339,13.5,17.5
Astros,Cardinals,W,0.518518519,48.1,29.74,0.317,20.1,20.6,0.530864198,46.7,27.7,0.329,17.4,22.3
Marlins,RedSox,L,0.49068323,46.1,28.77,0.309,14.5,20,0.574074074,46.6,29.18,0.346,18.1,35
Twins,Orioles,W,0.364197531,47.9,26.48,0.317,8.5,12.5,0.549382716,47.3,26.91,0.326,15.4,20.2
Yankees,Rays,W,0.518518519,44.8,30.4,0.311,18.2,14.6,0.419753086,48.8,29.26,0.315,12.2,17.3
Pirates,Tigers,W,0.481481481,47,26.13,0.318,9.2,17.3,0.534161491,48,27.31,0.33,17.4,19.4
BlueJays,Phillies,W,0.549382716,46.7,28.14,0.327,19,23.7,0.438271605,47,28.53,0.296,13.6,10.2
Cardinals,Mets,L,0.530864198,46.7,27.7,0.329,17.4,22.3,0.537037037,45.9,29.76,0.315,24.4,20.5
WhiteSox,Cubs,W,0.481481481,46.7,27.06,0.314,15.9,16.4,0.635802469,46.7,30.36,0.333,20.6,38
Rockies,Brewers,W,0.462962963,48.8,26.66,0.339,13.5,17.5,0.450617284,49.9,25.31,0.315,12.5,12.3
Athletics,Rangers,W,0.425925926,43.6,26.37,0.302,12.2,2.7,0.586419753,46.2,25.24,0.324,10.1,18.7
Giants,Angels,W,0.537037037,43.5,28.27,0.315,17.2,26.8,0.456790123,42.4,25.16,0.314,6.7,20.7
Indians,Padres,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.419753086,48.5,26.19,0.297,8.7,11.6
Nationals,Braves,L,0.586419753,45.8,31.17,0.322,23.2,23,0.422360248,45.5,26.35,0.304,8.9,10
Cubs,Dodgers,W,0.635802469,46.7,30.36,0.333,20.6,38,0.561728395,46.3,32.05,0.314,22.7,24.2
Mariners,Reds,L,0.530864198,46.6,28.27,0.325,12.9,20.9,0.419753086,46.7,26.46,0.311,-1.4,15.9
Dodgers,Mariners,L,0.561728395,46.3,32.05,0.314,22.7,24.2,0.530864198,46.6,28.27,0.325,12.9,20.9
Braves,Astros,W,0.422360248,45.5,26.35,0.304,8.9,10,0.518518519,48.1,29.74,0.317,20.1,20.6
Orioles,Twins,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.364197531,47.9,26.48,0.317,8.5,12.5
RedSox,Rays,W,0.574074074,46.6,29.18,0.346,18.1,35,0.419753086,48.8,29.26,0.315,12.2,17.3
Tigers,Pirates,W,0.534161491,48,27.31,0.33,17.4,19.4,0.481481481,47,26.13,0.318,9.2,17.3
Mets,Marlins,L,0.537037037,45.9,29.76,0.315,24.4,20.5,0.49068323,46.1,28.77,0.309,14.5,20
Phillies,Yankees,L,0.438271605,47,28.53,0.296,13.6,10.2,0.518518519,44.8,30.4,0.311,18.2,14.6
Cardinals,Nationals,D,0.530864198,46.7,27.7,0.329,17.4,22.3,0.586419753,45.8,31.17,0.322,23.2,23
Rays,BlueJays,W,0.419753086,48.8,29.26,0.315,12.2,17.3,0.549382716,46.7,28.14,0.327,19,23.7
Cubs,Athletics,D,0.635802469,46.7,30.36,0.333,20.6,38,0.425925926,43.6,26.37,0.302,12.2,2.7
Indians,Royals,L,0.583850932,46.4,30.09,0.326,18.7,26.7,0.5,46.3,27.5,0.307,9.9,14.6
Brewers,Indians,L,0.450617284,49.9,25.31,0.315,12.5,12.3,0.583850932,46.4,30.09,0.326,18.7,26.7
Reds,Mariners,L,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.530864198,46.6,28.27,0.325,12.9,20.9
Dodgers,Rockies,L,0.561728395,46.3,32.05,0.314,22.7,24.2,0.462962963,48.8,26.66,0.339,13.5,17.5
Rangers,Angels,W,0.586419753,46.2,25.24,0.324,10.1,18.7,0.456790123,42.4,25.16,0.314,6.7,20.7
Padres,Giants,W,0.419753086,48.5,26.19,0.297,8.7,11.6,0.537037037,43.5,28.27,0.315,17.2,26.8
Astros,Nationals,D,0.518518519,48.1,29.74,0.317,20.1,20.6,0.586419753,45.8,31.17,0.322,23.2,23
Twins,Cardinals,L,0.364197531,47.9,26.48,0.317,8.5,12.5,0.530864198,46.7,27.7,0.329,17.4,22.3
Mets,Tigers,W,0.537037037,45.9,29.76,0.315,24.4,20.5,0.534161491,48,27.31,0.33,17.4,19.4
Phillies,Orioles,W,0.438271605,47,28.53,0.296,13.6,10.2,0.549382716,47.3,26.91,0.326,15.4,20.2
Pirates,RedSox,L,0.481481481,47,26.13,0.318,9.2,17.3,0.574074074,46.6,29.18,0.346,18.1,35
Rays,Braves,W,0.419753086,48.8,29.26,0.315,12.2,17.3,0.422360248,45.5,26.35,0.304,8.9,10
WhiteSox,Royals,W,0.481481481,46.7,27.06,0.314,15.9,16.4,0.5,46.3,27.5,0.307,9.9,14.6
Brewers,Dodgers,W,0.450617284,49.9,25.31,0.315,12.5,12.3,0.561728395,46.3,32.05,0.314,22.7,24.2
Padres,Cubs,L,0.419753086,48.5,26.19,0.297,8.7,11.6,0.635802469,46.7,30.36,0.333,20.6,38
Rangers,Indians,W,0.586419753,46.2,25.24,0.324,10.1,18.7,0.583850932,46.4,30.09,0.326,18.7,26.7
Reds,Angels,W,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.456790123,42.4,25.16,0.314,6.7,20.7
Rockies,Mariners,L,0.462962963,48.8,26.66,0.339,13.5,17.5,0.530864198,46.6,28.27,0.325,12.9,20.9
Giants,Athletics,W,0.537037037,43.5,28.27,0.315,17.2,26.8,0.425925926,43.6,26.37,0.302,12.2,2.7
Braves,Tigers,W,0.422360248,45.5,26.35,0.304,8.9,10,0.534161491,48,27.31,0.33,17.4,19.4
Mets,Marlins,L,0.537037037,45.9,29.76,0.315,24.4,20.5,0.49068323,46.1,28.77,0.309,14.5,20
Phillies,Rays,L,0.438271605,47,28.53,0.296,13.6,10.2,0.419753086,48.8,29.26,0.315,12.2,17.3
Nationals,Astros,L,0.586419753,45.8,31.17,0.322,23.2,23,0.518518519,48.1,29.74,0.317,20.1,20.6
Orioles,BlueJays,D,0.549382716,47.3,26.91,0.326,15.4,20.2,0.549382716,46.7,28.14,0.327,19,23.7
Indians,Rangers,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.586419753,46.2,25.24,0.324,10.1,18.7
Royals,Reds,W,0.5,46.3,27.5,0.307,9.9,14.6,0.419753086,46.7,26.46,0.311,-1.4,15.9
Dodgers,WhiteSox,W,0.561728395,46.3,32.05,0.314,22.7,24.2,0.481481481,46.7,27.06,0.314,15.9,16.4
Cubs,Padres,L,0.635802469,46.7,30.36,0.333,20.6,38,0.419753086,48.5,26.19,0.297,8.7,11.6
Athletics,Rockies,W,0.425925926,43.6,26.37,0.302,12.2,2.7,0.462962963,48.8,26.66,0.339,13.5,17.5
Mariners,Angels,D,0.530864198,46.6,28.27,0.325,12.9,20.9,0.456790123,42.4,25.16,0.314,6.7,20.7
Yankees,RedSox,L,0.518518519,44.8,30.4,0.311,18.2,14.6,0.574074074,46.6,29.18,0.346,18.1,35
Tigers,Astros,L,0.534161491,48,27.31,0.33,17.4,19.4,0.518518519,48.1,29.74,0.317,20.1,20.6
Pirates,Orioles,W,0.481481481,47,26.13,0.318,9.2,17.3,0.549382716,47.3,26.91,0.326,15.4,20.2
Cardinals,Braves,D,0.530864198,46.7,27.7,0.329,17.4,22.3,0.422360248,45.5,26.35,0.304,8.9,10
Nationals,Marlins,L,0.586419753,45.8,31.17,0.322,23.2,23,0.49068323,46.1,28.77,0.309,14.5,20
Cubs,Royals,W,0.635802469,46.7,30.36,0.333,20.6,38,0.5,46.3,27.5,0.307,9.9,14.6
WhiteSox,Brewers,W,0.481481481,46.7,27.06,0.314,15.9,16.4,0.450617284,49.9,25.31,0.315,12.5,12.3
Rockies,Dodgers,W,0.462962963,48.8,26.66,0.339,13.5,17.5,0.561728395,46.3,32.05,0.314,22.7,24.2
Angels,Indians,L,0.456790123,42.4,25.16,0.314,6.7,20.7,0.583850932,46.4,30.09,0.326,18.7,26.7
Giants,Mariners,W,0.537037037,43.5,28.27,0.315,17.2,26.8,0.530864198,46.6,28.27,0.325,12.9,20.9
BlueJays,Yankees,W,0.549382716,46.7,28.14,0.327,19,23.7,0.518518519,44.8,30.4,0.311,18.2,14.6
RedSox,Twins,W,0.574074074,46.6,29.18,0.346,18.1,35,0.364197531,47.9,26.48,0.317,8.5,12.5
Braves,Nationals,W,0.422360248,45.5,26.35,0.304,8.9,10,0.586419753,45.8,31.17,0.322,23.2,23
Orioles,RedSox,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.574074074,46.6,29.18,0.346,18.1,35
Astros,Braves,L,0.518518519,48.1,29.74,0.317,20.1,20.6,0.422360248,45.5,26.35,0.304,8.9,10
Mets,Marlins,L,0.537037037,45.9,29.76,0.315,24.4,20.5,0.49068323,46.1,28.77,0.309,14.5,20
Yankees,Pirates,L,0.518518519,44.8,30.4,0.311,18.2,14.6,0.481481481,47,26.13,0.318,9.2,17.3
Cardinals,Tigers,W,0.530864198,46.7,27.7,0.329,17.4,22.3,0.534161491,48,27.31,0.33,17.4,19.4
