AWAY,HOME,HOME_TEAM_RESULT,W%,Off,K%,AVG,P_Index,B_index
Braves,Mets,W,0.114676789,85.3,1.3,-0.009,2.47,0.4
Indians,Brewers,W,-0.133233648,-89.1,5.3,-0.018,-3.96,3.5
Rockies,Reds,L,-0.043209877,-36.3,-0.2,-0.019,0.09,-2.1
Dodgers,Giants,L,-0.024691358,-6.2,-3.7,0.009,-3.51,-2.8
Padres,WhiteSox,W,0.061728395,49.5,-4,0.022,0.58,-1.8
Mariners,Rangers,L,0.055555556,-52.9,-0.7,0.003,-2.32,-0.4
Royals,Angels,L,-0.043209877,59,-3.8,-0.001,-2.13,-3.9
Athletics,Padres,L,-0.00617284,23.1,6,-0.011,0.23,4.9
Astros,Yankees,L,0,-46,-3.8,0.005,0.6,-3.3
Marlins,Nationals,W,0.095736523,46.8,0.4,-0.007,1.57,-0.3
Twins,Orioles,L,0.185185185,46.3,-1.1,0.005,0.63,-0.6
Mets,Cardinals,W,-0.00617284,44.4,-0.1,0.009,-1.6,0.8
Phillies,Pirates,L,0.043209877,112.2,-1.7,0.017,-1.92,0
Rays,RedSox,L,0.154320988,130,-6.1,0.039,-0.1,-2.2
Braves,BlueJays,W,0.127022468,123.8,1.9,-0.007,1.18,1.2
Tigers,Mets,W,0.002875546,-39.8,0,-0.021,1.94,-2.1
Indians,Dodgers,L,-0.022122537,-47.4,1.2,-0.013,1.74,-0.1
Royals,Cubs,L,0.135802469,140.6,0.9,-0.005,2.44,0.4
Royals,Athletics,W,-0.074074074,-17.2,-1.2,-0.015,-1.2,-2.7
Angels,Reds,W,-0.037037037,-54,4.7,-0.004,1.63,4.3
Padres,Brewers,L,0.030864198,19.3,0.5,0.009,-0.94,1.4
Giants,Rangers,W,0.049382716,9.4,2.3,0.004,-2.21,2.7
Cubs,Rockies,W,-0.172839506,-99.3,0.2,0.019,-3.03,2.1
WhiteSox,Angels,L,-0.024691358,3.6,-4.6,0.003,-1.74,-4.3
RedSox,Orioles,L,-0.024691358,-99.6,3.3,-0.026,-1.78,0.7
Mets,Braves,W,-0.114676789,-85.3,-1.3,0.009,-2.47,-0.4
Yankees,Marlins,W,-0.027835289,-7.7,0.2,0.011,-0.81,1.3
Pirates,Phillies,W,-0.043209877,-112.2,1.7,-0.017,1.92,0
Cardinals,Twins,L,-0.166666667,-47.4,1.6,-0.004,-0.99,1.2
Rays,Tigers,W,0.114408404,26.9,-3.2,0.024,-1.86,-0.8
Nationals,Astros,L,-0.067901235,6.9,3.2,-0.009,-1.36,2.3
Twins,BlueJays,W,0.185185185,41.5,-0.9,-0.003,1.3,-1.2
Rockies,Royals,W,0.037037037,-41.3,-1.1,-0.014,0.59,-2.5
Dodgers,Cubs,L,0.074074074,73.7,-0.3,0.007,-1.35,0.4
Brewers,WhiteSox,W,0.030864198,30.2,-4.5,0.013,1.52,-3.2
Mariners,Indians,W,0.052986734,-8.7,-0.5,0.003,1.66,-0.2
Rangers,Athletics,L,-0.160493827,-87.3,-1,-0.016,0.73,-2.6
Reds,Giants,W,0.117283951,55.7,-3.4,0.002,0.78,-3.2
Braves,Astros,W,0.09615827,109.6,3.4,-0.008,2.55,2.6
Orioles,Phillies,W,-0.111111111,-158.5,1.3,-0.016,1.12,-0.3
RedSox,Pirates,L,-0.092592593,-145.9,2.9,-0.025,-2.58,0.4
Marlins,Cardinals,L,0.040180968,73.8,1.4,-0.008,-1.47,0.6
Phillies,Twins,L,-0.074074074,112.2,-0.2,0.011,-1.75,0.9
BlueJays,Rays,L,-0.12962963,-25.6,2.6,-0.005,1.21,2.1
Nationals,Tigers,W,-0.052258262,22.4,1.1,0.011,-3.38,2.2
Yankees,Mets,D,0.018518519,21.7,1.7,-0.006,-0.68,1.1
Indians,Cubs,L,0.051951537,26.3,0.9,-0.006,0.39,0.3
Rockies,Giants,L,0.074074074,19.4,-3.6,-0.017,0.87,-5.3
Brewers,Royals,W,0.049382716,-25.2,-5.3,0.017,1.91,-3.6
Athletics,WhiteSox,L,0.055555556,72.6,2,0.011,0.81,3.1
Rangers,Reds,L,-0.166666667,-65.1,1.1,-0.006,1.43,0.5
Royals,Mariners,W,0.030864198,123,0.5,-0.002,0.39,0.3
Dodgers,Angels,D,-0.104938272,-7.9,-5,0.011,-5.92,-3.9
Braves,Marlins,L,0.068322981,55.9,-0.2,0.008,2.34,0.6
Tigers,Phillies,D,-0.095889886,-155,1.7,-0.027,1.1,-1
Twins,RedSox,L,0.209876543,145.9,-4.4,0.031,2.41,-1.3
Yankees,Orioles,D,0.030864198,65,2.1,0.004,-2.64,2.5
Pirates,Rays,W,-0.061728395,15.9,3.2,-0.014,2.68,1.8
BlueJays,Yankees,L,-0.030864198,-60.2,-2.3,0.004,1.97,-1.9
Cardinals,Mets,W,0.00617284,-44.4,0.1,-0.009,1.6,-0.8
WhiteSox,Rangers,L,0.104938272,14.7,-1,0.005,-1.54,-0.5
Royals,WhiteSox,L,-0.018518519,55.4,0.8,-0.004,-0.39,0.4
Dodgers,Athletics,L,-0.135802469,-84.1,-2.4,-0.003,-4.99,-2.7
Padres,Indians,W,0.164097845,108.4,-4.8,0.027,3.02,-2.1
Giants,Brewers,L,-0.086419753,-35.5,7.8,-0.014,-2.19,6.4
Cubs,Mariners,W,-0.104938272,-17.6,-0.4,0.003,-2.05,-0.1
Reds,Rockies,L,0.043209877,36.3,0.2,0.019,-0.09,2.1
Astros,Nationals,L,0.067901235,-6.9,-3.2,0.009,1.36,-2.3
Braves,Cardinals,W,0.108503949,129.7,1.2,0,0.87,1.2
Orioles,Yankees,W,-0.030864198,-65,-2.1,-0.004,2.64,-2.5
Tigers,Astros,W,-0.015642972,-15.5,2.1,-0.02,2.02,0.1
Marlins,Twins,L,-0.126485699,26.4,3,-0.012,-2.46,1.8
Mets,Nationals,W,0.049382716,17.4,-1.1,0.01,1.44,-0.1
Phillies,Braves,L,-0.015911356,29.9,-3,0.015,-1.63,-1.5
Rays,Pirates,W,0.061728395,-15.9,-3.2,0.014,-2.68,-1.8
RedSox,BlueJays,W,-0.024691358,-104.4,3.5,-0.034,-1.11,0.1
Reds,Cubs,W,0.216049383,135.6,0,0,2.94,0
Angels,Dodgers,L,0.104938272,7.9,5,-0.011,5.92,3.9
Athletics,Reds,L,-0.00617284,22.2,2.1,0.01,0.7,3.1
Mariners,Giants,L,0.00617284,-62.3,-3,-0.001,-0.11,-3.1
Rangers,Brewers,L,-0.135802469,-44.9,5.5,-0.018,0.02,3.7
WhiteSox,Padres,L,-0.061728395,-49.5,4,-0.022,-0.58,1.8
Indians,Rockies,W,-0.120887969,-73,1.1,0.013,-2.64,2.4
Astros,Cardinals,W,0.012345679,20.1,-2.2,0.008,-1.68,-1.4
Marlins,RedSox,L,0.083390844,172.3,-1.4,0.019,-0.05,0.5
Twins,Orioles,W,0.185185185,46.3,-1.1,0.005,0.63,-0.6
Yankees,Rays,W,-0.098765432,34.6,4.9,-0.009,-0.76,4
Pirates,Tigers,W,0.052680009,42.8,0,0.01,0.82,1
BlueJays,Phillies,W,-0.111111111,-153.7,1.1,-0.008,0.45,0.3
Cardinals,Mets,L,0.00617284,-44.4,0.1,-0.009,1.6,-0.8
WhiteSox,Cubs,W,0.154320988,85.2,0.1,-0.001,2.83,0
Rockies,Brewers,W,-0.012345679,-16.1,4.2,-0.031,-1.32,1.1
Athletics,Rangers,W,0.160493827,87.3,1,0.016,-0.73,2.6
Giants,Angels,W,-0.080246914,-1.7,-1.3,0.002,-2.41,-1.1
Indians,Padres,W,-0.164097845,-108.4,4.8,-0.027,-3.02,2.1
Nationals,Braves,L,-0.164059505,-102.7,-0.2,-0.001,-3.91,-0.3
Cubs,Dodgers,W,-0.074074074,-73.7,0.3,-0.007,1.35,-0.4
Mariners,Reds,L,-0.111111111,-118,0.4,-0.003,-0.89,0.1
Dodgers,Mariners,L,-0.030864198,56.1,-0.7,0.01,-3.4,0.3
Braves,Astros,W,0.09615827,109.6,3.4,-0.008,2.55,2.6
Orioles,Twins,W,-0.185185185,-46.3,1.1,-0.005,-0.63,0.6
RedSox,Rays,W,-0.154320988,-130,6.1,-0.039,0.1,2.2
Tigers,Pirates,W,-0.052680009,-42.8,0,-0.01,-0.82,-1
Mets,Marlins,L,-0.046353807,-29.4,-1.5,0.017,-0.13,0.2
Phillies,Yankees,L,0.080246914,93.5,-3.4,0.012,1.52,-2.2
Cardinals,Nationals,D,0.055555556,-27,-1,0.001,3.04,-0.9
Rays,BlueJays,W,0.12962963,25.6,-2.6,0.005,-1.21,-2.1
Cubs,Athletics,D,-0.209876543,-157.8,-2.1,-0.01,-3.64,-3.1
Indians,Royals,L,-0.083850932,-114.3,0,-0.001,-2.05,-0.1
Brewers,Indians,L,0.133233648,89.1,-5.3,0.018,3.96,-3.5
Reds,Mariners,L,0.111111111,118,-0.4,0.003,0.89,-0.1
Dodgers,Rockies,L,-0.098765432,-25.6,-0.1,0.026,-4.38,2.5
Rangers,Angels,W,-0.12962963,-11.1,-3.6,-0.002,-0.2,-3.8
Padres,Giants,W,0.117283951,54.8,-7.3,0.023,1.25,-5
Astros,Nationals,D,0.067901235,-6.9,-3.2,0.009,1.36,-2.3
Twins,Cardinals,L,0.166666667,47.4,-1.6,0.004,0.99,-1.2
Mets,Tigers,W,-0.002875546,39.8,0,0.021,-1.94,2.1
Phillies,Orioles,W,0.111111111,158.5,-1.3,0.016,-1.12,0.3
Pirates,RedSox,L,0.092592593,145.9,-2.9,0.025,2.58,-0.4
Rays,Braves,W,0.002607162,-98.2,-4.5,0.012,-2.39,-3.3
WhiteSox,Royals,W,0.018518519,-55.4,-0.8,0.004,0.39,-0.4
Brewers,Dodgers,W,0.111111111,41.7,-4.1,0.005,5.7,-3.6
Padres,Cubs,L,0.216049383,134.7,-3.9,0.021,3.41,-1.8
Rangers,Indians,W,-0.002568821,44.2,0.2,0,3.98,0.2
Reds,Angels,W,0.037037037,54,-4.7,0.004,-1.63,-4.3
Rockies,Mariners,L,0.067901235,81.7,-0.6,-0.016,0.98,-2.2
Giants,Athletics,W,-0.111111111,-77.9,1.3,-0.012,-1.48,0.1
Braves,Tigers,W,0.111801242,125.1,1.3,0.012,0.53,2.5
Mets,Marlins,L,-0.046353807,-29.4,-1.5,0.017,-0.13,0.2
Phillies,Rays,L,-0.018518519,128.1,1.5,0.003,0.76,1.8
Nationals,Astros,L,-0.067901235,6.9,3.2,-0.009,-1.36,2.3
Orioles,BlueJays,D,0,-4.8,0.2,-0.008,0.67,-0.6
Indians,Rangers,W,0.002568821,-44.2,-0.2,0,-3.98,-0.2
Royals,Reds,W,-0.080246914,5,0.9,-0.005,-0.5,0.4
Dodgers,WhiteSox,W,-0.080246914,-11.5,-0.4,0.008,-4.18,0.4
Cubs,Padres,L,-0.216049383,-134.7,3.9,-0.021,-3.41,1.8
Athletics,Rockies,W,0.037037037,58.5,2.3,0.029,0.61,5.2
Mariners,Angels,D,-0.074074074,-64,-4.3,0.001,-2.52,-4.2
Yankees,RedSox,L,0.055555556,164.6,-1.2,0.03,-0.86,1.8
Tigers,Astros,L,-0.015642972,-15.5,2.1,-0.02,2.02,0.1
Pirates,Orioles,W,0.067901235,46.3,0.4,-0.001,0.8,0.3
Cardinals,Braves,D,-0.108503949,-129.7,-1.2,0,-0.87,-1.2
Nationals,Marlins,L,-0.095736523,-46.8,-0.4,0.007,-1.57,0.3
Cubs,Royals,W,-0.135802469,-140.6,-0.9,0.005,-2.44,-0.4
WhiteSox,Brewers,W,-0.030864198,-30.2,4.5,-0.013,-1.52,3.2
Rockies,Dodgers,W,0.098765432,25.6,0.1,-0.026,4.38,-2.5
Angels,Indians,L,0.127060808,55.3,3.8,0.002,4.18,4
Giants,Mariners,W,-0.00617284,62.3,3,0.001,0.11,3.1
BlueJays,Yankees,W,-0.030864198,-60.2,-2.3,0.004,1.97,-1.9
RedSox,Twins,W,-0.209876543,-145.9,4.4,-0.031,-2.41,1.3
Braves,Nationals,W,0.164059505,102.7,0.2,0.001,3.91,0.3
Orioles,RedSox,W,0.024691358,99.6,-3.3,0.026,1.78,-0.7
Astros,Braves,L,-0.09615827,-109.6,-3.4,0.008,-2.55,-2.6
Mets,Marlins,L,-0.046353807,-29.4,-1.5,0.017,-0.13,0.2
Yankees,Pirates,L,-0.037037037,18.7,1.7,0.005,-3.44,2.2
Cardinals,Tigers,W,0.003297293,-4.6,0.1,0.012,-0.34,1.3
Rays,Phillies,L,0.018518519,-128.1,-1.5,-0.003,-0.76,-1.8
BlueJays,Astros,W,-0.030864198,-14.2,1.5,-0.001,1.37,1.4
Indians,Reds,W,-0.164097845,-109.3,0.9,-0.006,-2.55,0.3
Royals,Dodgers,L,0.061728395,66.9,1.2,-0.012,3.79,0
Mariners,Athletics,D,-0.104938272,-140.2,-1.7,-0.013,-1.59,-3
Angels,Rockies,D,0.00617284,-17.7,4.9,0.015,1.54,6.4
Twins,Orioles,W,0.185185185,46.3,-1.1,0.005,0.63,-0.6
Brewers,Rangers,L,0.135802469,44.9,-5.5,0.018,-0.02,-3.7
Giants,Padres,L,-0.117283951,-54.8,7.3,-0.023,-1.25,5
RedSox,Rays,W,-0.154320988,-130,6.1,-0.039,0.1,2.2
Tigers,Cardinals,L,-0.003297293,4.6,-0.1,-0.012,0.34,-1.3
Marlins,Braves,W,-0.068322981,-55.9,0.2,-0.008,-2.34,-0.6
Twins,RedSox,L,0.209876543,145.9,-4.4,0.031,2.41,-1.3
Pirates,Phillies,W,-0.043209877,-112.2,1.7,-0.017,1.92,0
Astros,BlueJays,W,0.030864198,14.2,-1.5,0.001,-1.37,-1.4
Cubs,WhiteSox,W,-0.154320988,-85.2,-0.1,0.001,-2.83,0
Reds,Brewers,L,0.030864198,20.2,4.4,-0.012,-1.41,3.2
Angels,Royals,W,0.043209877,-59,3.8,0.001,2.13,3.9
Athletics,Indians,W,0.157925006,131.5,1.2,0.016,3.25,2.8
Rockies,Angels,D,-0.00617284,17.7,-4.9,-0.015,-1.54,-6.4
Rangers,Mariners,W,-0.055555556,52.9,0.7,-0.003,2.32,0.4
Nationals,Mets,L,-0.049382716,-17.4,1.1,-0.01,-1.44,0.1
Orioles,Yankees,L,-0.030864198,-65,-2.1,-0.004,2.64,-2.5
Royals,Rangers,W,0.086419753,70.1,-0.2,0.001,-1.93,-0.1
Padres,Giants,W,0.117283951,54.8,-7.3,0.023,1.25,-5
Braves,Yankees,W,0.09615827,63.6,-0.4,-0.003,3.15,-0.7
Cardinals,RedSox,W,0.043209877,98.5,-2.8,0.027,1.42,-0.1
Royals,Rangers,W,0.086419753,70.1,-0.2,0.001,-1.93,-0.1
Reds,Athletics,W,0.00617284,-22.2,-2.1,-0.01,-0.7,-3.1
Dodgers,WhiteSox,W,-0.080246914,-11.5,-0.4,0.008,-4.18,0.4
Athletics,Giants,L,0.111111111,77.9,-1.3,0.012,1.48,-0.1
Mariners,Royals,W,-0.030864198,-123,-0.5,0.002,-0.39,-0.3
Rockies,Padres,D,-0.043209877,-35.4,3.7,-0.04,-0.38,-0.3
Brewers,Angels,W,0.00617284,33.8,-9.1,0.016,-0.22,-7.5
Cubs,Indians,W,-0.051951537,-26.3,-0.9,0.006,-0.39,-0.3
Tigers,Braves,L,-0.111801242,-125.1,-1.3,-0.012,-0.53,-2.5
Astros,Phillies,W,-0.080246914,-139.5,-0.4,-0.007,-0.92,-1.1
Marlins,Cardinals,L,0.040180968,73.8,1.4,-0.008,-1.47,0.6
Yankees,Twins,L,-0.154320988,18.7,3.2,-0.001,-3.27,3.1
Rays,Orioles,D,0.12962963,30.4,-2.8,0.013,-1.88,-1.5
Nationals,Tigers,W,-0.052258262,22.4,1.1,0.011,-3.38,2.2
Pirates,BlueJays,W,0.067901235,41.5,0.6,-0.009,1.47,-0.3
RedSox,Mets,L,-0.037037037,-142.9,2.9,-0.036,0.18,-0.7
WhiteSox,Athletics,L,-0.055555556,-72.6,-2,-0.011,-0.81,-3.1
Royals,Cubs,W,0.135802469,140.6,0.9,-0.005,2.44,0.4
Angels,Rangers,L,0.12962963,11.1,3.6,0.002,0.2,3.8
Dodgers,Brewers,W,-0.111111111,-41.7,4.1,-0.005,-5.7,3.6
Padres,Dodgers,L,0.141975309,61,-3.6,0.014,4.76,-2.2
Indians,Mariners,L,-0.052986734,8.7,0.5,-0.003,-1.66,0.2
Giants,Rockies,L,-0.074074074,-19.4,3.6,0.017,-0.87,5.3
Braves,Pirates,L,0.059121233,82.3,1.3,0.002,-0.29,1.5
RedSox,Cardinals,L,-0.043209877,-98.5,2.8,-0.027,-1.42,0.1
Astros,Nationals,W,0.067901235,-6.9,-3.2,0.009,1.36,-2.3
Phillies,Tigers,L,0.095889886,155,-1.7,0.027,-1.1,1
Pirates,Twins,L,-0.117283951,0,1.5,-0.006,0.17,0.9
Marlins,Mets,L,0.046353807,29.4,1.5,-0.017,0.13,-0.2
WhiteSox,Indians,W,0.10236945,58.9,-0.8,0.005,2.44,-0.3
Rockies,Rangers,L,0.12345679,28.8,-1.3,-0.013,-1.34,-2.6
Angels,Brewers,W,-0.00617284,-33.8,9.1,-0.016,0.22,7.5
Athletics,Giants,L,0.111111111,77.9,-1.3,0.012,1.48,-0.1
Mariners,Dodgers,L,0.030864198,-56.1,0.7,-0.01,3.4,-0.3
Reds,Padres,W,0,0.9,3.9,-0.021,-0.47,1.8
Braves,Astros,W,0.09615827,109.6,3.4,-0.008,2.55,2.6
Orioles,Twins,W,-0.185185185,-46.3,1.1,-0.005,-0.63,0.6
RedSox,Marlins,W,-0.083390844,-172.3,1.4,-0.019,0.05,-0.5
Twins,Phillies,L,0.074074074,-112.2,0.2,-0.011,1.75,-0.9
BlueJays,Tigers,L,-0.015221225,1.3,-0.6,0.019,-0.65,1.3
Cubs,Reds,L,-0.216049383,-135.6,0,0,-2.94,0
Giants,WhiteSox,W,-0.055555556,-5.3,3.3,-0.001,-0.67,3.2
Brewers,Rockies,W,0.012345679,16.1,-4.2,0.031,1.32,-1.1
Athletics,Angels,W,0.030864198,76.2,-2.6,0.014,-0.93,-1.2
Rangers,Padres,W,-0.166666667,-64.2,5,-0.027,0.96,2.3
Mets,Yankees,W,-0.018518519,-21.7,-1.7,0.006,0.68,-1.1
Dodgers,Royals,W,-0.061728395,-66.9,-1.2,0.012,-3.79,0
Orioles,Pirates,W,-0.067901235,-46.3,-0.4,0.001,-0.8,-0.3
Marlins,Cardinals,W,0.040180968,73.8,1.4,-0.008,-1.47,0.6
Rays,Twins,L,-0.055555556,-15.9,-1.7,0.008,-2.51,-0.9
Mets,BlueJays,W,0.012345679,38.5,0.6,0.002,-1.29,0.8
Cubs,Rangers,W,-0.049382716,-70.5,-1.1,0.006,-4.37,-0.5
Royals,Indians,W,0.083850932,114.3,0,0.001,2.05,0.1
Padres,WhiteSox,W,0.061728395,49.5,-4,0.022,0.58,-1.8
Yankees,Nationals,W,0.067901235,39.1,0.6,0.004,0.76,1
Phillies,Astros,W,0.080246914,139.5,0.4,0.007,0.92,1.1
Athletics,Mariners,L,0.104938272,140.2,1.7,0.013,1.59,3
Twins,Marlins,L,0.126485699,-26.4,-3,0.012,2.46,-1.8
Mets,RedSox,W,0.037037037,142.9,-2.9,0.036,-0.18,0.7
Pirates,Orioles,W,0.067901235,46.3,0.4,-0.001,0.8,0.3
Cardinals,Nationals,W,0.055555556,-27,-1,0.001,3.04,-0.9
Tigers,BlueJays,W,0.015221225,-1.3,0.6,-0.019,0.65,-1.3
Astros,Mets,L,0.018518519,-24.3,-2.1,-0.001,-0.08,-2.2
Reds,Rangers,W,0.166666667,65.1,-1.1,0.006,-1.43,-0.5
Royals,Brewers,W,-0.049382716,25.2,5.3,-0.017,-1.91,3.6
Angels,WhiteSox,L,0.024691358,-3.6,4.6,-0.003,1.74,4.3
Mariners,Rockies,L,-0.067901235,-81.7,0.6,0.016,-0.98,2.2
Rays,Yankees,L,0.098765432,-34.6,-4.9,0.009,0.76,-4
Cubs,Giants,L,-0.098765432,-79.9,-3.4,0.002,-2.16,-3.2
Dodgers,Indians,D,0.022122537,47.4,-1.2,0.013,-1.74,0.1
Rangers,Athletics,L,-0.160493827,-87.3,-1,-0.016,0.73,-2.6
Astros,Braves,D,-0.09615827,-109.6,-3.4,0.008,-2.55,-2.6
Twins,Rays,L,0.055555556,15.9,1.7,-0.008,2.51,0.9
Yankees,Orioles,W,0.030864198,65,2.1,0.004,-2.64,2.5
Cardinals,Mets,D,0.00617284,-44.4,0.1,-0.009,1.6,-0.8
Rockies,Reds,L,-0.043209877,-36.3,-0.2,-0.019,0.09,-2.1
Royals,Giants,W,0.037037037,60.7,-2.5,-0.003,0.28,-2.8
Angels,Athletics,L,-0.030864198,-76.2,2.6,-0.014,0.93,1.2
Brewers,Cubs,L,0.185185185,115.4,-4.4,0.012,4.35,-3.2
WhiteSox,Mariners,W,0.049382716,67.6,-0.3,0.002,0.78,-0.1
Pirates,RedSox,W,0.092592593,145.9,-2.9,0.025,2.58,-0.4
BlueJays,Phillies,D,-0.111111111,-153.7,1.1,-0.008,0.45,0.3
Padres,Rangers,W,0.166666667,64.2,-5,0.027,-0.96,-2.3
Giants,Dodgers,W,0.024691358,6.2,3.7,-0.009,3.51,2.8
RedSox,Orioles,W,-0.024691358,-99.6,3.3,-0.026,-1.78,0.7
Tigers,Phillies,L,-0.095889886,-155,1.7,-0.027,1.1,-1
Mets,Braves,D,-0.114676789,-85.3,-1.3,0.009,-2.47,-0.4
Pirates,Twins,W,-0.117283951,0,1.5,-0.006,0.17,0.9
Nationals,Cardinals,L,-0.055555556,27,1,-0.001,-3.04,0.9
Yankees,BlueJays,L,0.030864198,60.2,2.3,-0.004,-1.97,1.9
Reds,WhiteSox,L,0.061728395,50.4,-0.1,0.001,0.11,0
Indians,Reds,W,-0.164097845,-109.3,0.9,-0.006,-2.55,0.3
Athletics,Royals,W,0.074074074,17.2,1.2,0.015,1.2,2.7
Giants,Cubs,L,0.098765432,79.9,3.4,-0.002,2.16,3.2
Dodgers,Mariners,W,-0.030864198,56.1,-0.7,0.01,-3.4,0.3
Padres,Angels,W,0.037037037,53.1,-8.6,0.025,-1.16,-6.1
Rangers,Rockies,W,-0.12345679,-28.8,1.3,0.013,1.34,2.6
Rays,Pirates,L,0.061728395,-15.9,-3.2,0.014,-2.68,-1.8
Padres,Astros,W,0.098765432,78.6,-1.6,0.012,2.62,-0.4
WhiteSox,Dodgers,W,0.080246914,11.5,0.4,-0.008,4.18,-0.4
